Mandarin (Han),Subs,Latin(Without accents),Zhuyin,Pinyin,Bad Translation,Lit. Translation,Relation,Intro chapter,Sentence no.,Frequency,Rank
仙王的日常生活,The Daily Life of the Immortal King,Xian Wang de Richang Shenghuo,ㄒㄧㄢ ㄨㄤˊ ㄉㄜ˙ ㄖˋ ㄔㄤˊ ㄕㄥ ㄏㄨㄛˊ,Xiān Wáng de Rìcháng Shēnghuó,,The Daily Life of the Immortal King,Title,0,1,4,
王爸/王焦,Father Wang/Wang Jiao,,,,,,,1,,,
王媽/王佑蘭,Mother Wang/Wang Youlan,,,,,,,1,,,
王令/令真人,Wang Ling/Ling Zhenren,Wang Ling,ㄨㄤˊ ㄌㄧㄥˋ, Wáng Lìng,Ling Ling,King Virtuous,MC,1,1,9867,
花果水簾集團,Huaguo Water Curtain Group,Huaguo Shui Lian Jituan,ㄏㄨㄚ ㄍㄨㄛˇ ㄕㄨㄟˇ ㄌㄧㄢˊ ㄐㄧˊ ㄊㄨㄢˊ,Huā guǒ shuǐ lián jítuán,Huaguo Water Curtain Group,Hua guo Water Curtain Group,Good MNC,2,0,118,
孫蓉,Sun Rong,Sun Rong,ㄙㄨㄣ ㄖㄨㄥˊ,Sūn Róng,Lotus Sun,Lotus Descendent,GF,2,1,772,
吞天蛤/二蛤/蛤施主,Thuntihan Ha/Er Ha/Benefactor Ha,Tuntian Ha/Er Ha,ㄊㄨㄣ ㄊㄧㄢㄏㄚˊ/ㄦˋ ㄏㄚˊ,Tūn tiān há/Èr há,Sky-Swallowing Toad/Froggy 2,Sky-Swallowing Toad/Loopy Toad,Pet/Demon,3,,,
卓異,Zhuo Yi,Zhuo Yi,ㄓㄨㄛㄧˋ,Zhuó yì,Odd Zhou,,Good Leader,3,,,
陳超,Chen Chao,Chen Chao,ㄔㄣˊㄔㄠ,Chén chāo,Super Chen,,Fiery CR,6,,,
二蛋,Er Dan,Er Dan,,,Dopey Egg,Dopey the Parrot?,,6,,,
郭豪/郭二蛋,Guo Hao/Master of Birdy Two,Guo Hao,ㄍㄨㄛ ㄏㄠˊ,Guō háo,Hero Guo,Hero Guo,Fat underdog sidekick,6,,,
李玄靜,Li Xuanjing,,,,,,LN only?,6,,,
潘勝聰/老潘,Pan Shengcong/Old Pan,,,,,,,6,,,
林小羽,Lin Xiaoyu,Lin Xiaoyu,,Lín xiǎo yǔ,,,,9,,,
絕色散人/老古董/王祖康,Gorgeous Itinerant/Old Antique/Wang Zukang,,,,,,,14,,,
驚柯,Jingke,,,,,,,25,,,
王明,Wang Ming,,,,,,,25,,,
奧海,Aohai,,,,Ocean,,,27,,,
梁飛,Liang Fei,,,,,,,30,,,
梁威,Liang Wei,,,,,,,30,,,
梁政,Liang Zheng,,,,,,,30,,,
娟媽,Mother Juan,,,,,,,49,,,
祁院長,President Qi,,,,,,,63,,,
易將軍/老易,General Yi/Old Yi,,,,,,,64,,,
烈萌萌,Lie Mengmeng,,,,,,,75,,,
小花生/蘇曉,Xiao Huasheng/Su Xiao,,,,Little Peanut,,,86,,,
洞爺仙人,Immortal Toya,,,,,,,91,,,
丟雷真君/雷謀人,Lord Diu Lei/Lei Mouren,,,,Grenade-Throwing Senior Immortal,Lord Throwing Thunder,,91,,,
雷電法王,Leidian Fawang,,,,,,,91,,,
綿羊,Mian Yang,,,,Sheep,,,144,,,
梁獄長/老梁,Warden Liang/Lao Liang,,,,,,,166,,,
馬大人,Lord Ma,,,,,,,242,,,
羅闖/羅胖子,Luo Chuang/Luo Pangzi,,,,,,,251,,,
翟因/因子,Zhai Yin/Yinzi,,,,,,,312,,,
鬼斧靈母,Ghost Ax Spirit Mother,,,,,,,332,,,
小銀,Little Silver,Xiao Yin,,,,,,374,,,
衛志,Wei Zhi,,,,,,,376,,,
薑元帥/武聖/薑寶盛,Marshal Jiang/Martial Saint/Jiang Baosheng,,,,,,,383,,,
左強,Zuo Qiang,,,,,,,386,,,
白哲//白會長,Bai Zhe/Chairman Bai/President Bai,,,,,,,390,,,
龐光/光道人,Pang Guang/Daoist Guang,,,,,,,393,,,
金時,Jin Shi,,,,,,,417,,,
銀時,Yin Shi,,,,,,,417,,,
陳南玄/邪劍神,Chen Nanxuan/Evil Sword God,,,,,,,425,,,
梵睿,Fan Rui,,,,,,,426,,,
元首,Head of State,,,,,,,543,,,
王道祖,Dao Ancestor Wang,,,,,,,774,,,
王真,Wang Zhen,,,,,,,775,,,
脆面道君,Crispy Noodles Dao Lord,,,,,,,800,,,
柳晴依,Liu Qingyi,,,,,,,805,,,
顧順之,Gu Shunzhi,,,,,,,846,,,
白鞘,Bai Qiao,,,,,,,903,,,
金燈,Jin Deng,,,,,,,969,,,
王暖/暖丫頭,Wang Nuan/Nuan Girl,,,,,,,1016,,,
孫沂源,Sun Yiyuan,,,,,,,1092,,,
李幽月,Li Youyue,,,,,,,1103,,,
造門六郎,Zaomen Rokuro,,,,,,,1143,,,
王影,Wang Ying,,,,,,,1195,,,
易之洋,Yi Zhiyang,,,,,,,1201,,,
關老師/關子謙,Teacher Guan/Guan Ziqian,,,,,,,1211,,,
江小徹/,Jiang Xiaoche/Ah Che,,,,,,,1214,,,
克奧恩·鄧肯/克奧恩,Keorn Duncan/Keorn,,,,,,,1223,,,
斯內克,Snake,,,,,,,1230,,,
月亮,Moon,,,,,,,1236,,,1
星星,Star,,,,,,,1236,,,2
太陽,The Sun,,,,,,,1236,,,3
審判/米歇爾,Judgment/Michelle,,,,,,,1236,,,4
戰車/托易德雷,Chariott/Tuoyi Delei,,,,,,,1236,,,5
命運,Destiny,,,,,,,1236,,,6
愚者/叫喬伊斯·炭朗,The Fool/Joyce Tanlang,,,,,,,1236,,,7
雪麒麟,Xue Qilin,,,,,,,1252,,,
預,Yu,,,,,,,1256,,,
阿卷,Ajuan,,,,,,,1279,,,
界王大人/阿卷,Lord Boundary King/Ajuan,,,,,,,1279,,,
邱淑雲/邱阿姨,Qiu Shuyun/Aunt Qiu,,,,,,,1281,,,
范興,Fang Xing,,,,,,,1281,,,
趙清閑,Zhao Qingxian,,,,,,,1300,,,
青桐貓,Cat in the Abandoned Land,,,,,,,1311,,,
孫影/孫穎兒,Sun Ying/Sun Ying’er,,,,,,,1327,,,
白海,Bai Hai,,,,,,,1371,,,
傾城一劍,Alluring Sword,,,,,,,1371,,,
蘇玉,Su Yu,,,,,,,1374,,,
薑瑩瑩,Jiang Yingying,,,,,,,1375,,,
老神,Old God,,,,,,,1380,,,?
老灰,Lao Hui,,,,,,,1393,,,
老蠻,Lao Man,,,,,,,1398,,,
無盡,Wu Jin,,,,,,,1398,,,
卡特,Carter,,,,,,,1398,,,
九幽,Jiu You,,,,,,,1399,,,
小芊,Xiao Qian,,,,,,,1401,,,
隨風,Sui Feng,,,,,,,1405,,,
伍九,Wu Jiu,,,,,,,1405,,,
禦靈,Yu Ling,,,,,,,1405,,,
電鳴,Dian Ming,,,,,,,1406,,,
飛盧,Fei Lu,,,,,,,1408,,,
灰粉,Hui Feng,,,,,,,1411,,,
九宮良子,Jiugong Liangzi/Yoshiko Kyuumiya,,,,,,,1414,,,
火丁,Huo Ding,,,,,,,1414,,,
邊上,Bian Shang,,,,,,,1415,,,
冰劍,Bing Jian,,,,,,,1422,,,
火劍,Huo Jian,,,,,,,1422,,,
涼風,Liang Feng,,,,,,,1427,,,
老K,Lao K,,,,,,,1428,,,
彭喜人,Peng Xiren,,,,,,,1430,,,
阿徹,Ache,,,,,,,1442,,,
木村大河/大河醫生,Mucun Dahe/Doctor Dahe,,,,,,,1448,,,
守衝,Shou Chong,,,,,,,1448,,,
筆仙子,Bi Xianzi,,,,,,,1461,,,
阿貞,Ah Zhen,,,,,,,1461,,,
阿強,Ah Qiang,,,,,,,1461,,,
九宮秀石,Jiugong Xiushi,,,,,,,1462,,,
獨眼武士,One-Eyed Samurai,,,,,,,1462,,,
赤野星輝,Akano Hoshiki/Sixth Wife,,,,,,,1469,,,
純子,Junko,,,,,,,1470,,,
春草重純,Chuncao Zhongchun,,,,,,,1489,,,
英仙和鳴,Yingxian Heming,,,,,,,1493,,,
牧野凌,Makino Ling,,,,,,,1498,,,
爬山鬼,Pashan Gui,,,,,,,1501,,,
張西升/張犧牲,Zhang Xisheng/Zhang Sacrifice,,,,,,,1501,,,
後浪/王后浪,Houlang/Wang Houlang,,,,,,,1504,,,
赤野韭佐木,Akano Saki,,,,,,,1506,,,
麻雀/六目赤禾子,Ma Jiao/Rokume Akahoko,,,,,,,1507,,,?
孔雀男,Kongque Nan,,,,,,,1508,,,
大晝野子,Noko Ohira,,,,,,,1510,,,
赤野酋虎,Akano Sekitora,,,,,,,1512,,,
墳墓神,Fenmu Shen,,,,Grave God,,,1524,,,
松下星河,Matsushita Singha,,,,,,,1527,,,
周子翼,Zhou Ziyi,,,,,,,1531,,,
周翔,Zhou Xiang,,,,,,,1531,,,
猙,Zheng,,,,,,,1535,,,
大野團楓,Ohno Dankaede,,,,,,,1543,,,
服部全哲,Hattori Zentetsu,,,,,,,1543,,,
森山楓,Moriyama Kaede,,,,,,,1545,,,
張戚/張子竊,Zhang Qi/Zhang Zhui,,,,,,,1551,,,
酒井豐年,Sakai Toyotoshi,,,,,,,1555,,,
植木君山,Ueki Kimisan,,,,,,,1559,,,
霍蘭德,Holland,,,,,,,1559,,,
酒井和也,Sakai Kazuya,,,,,,,1564,,,
米倉明衛,Akira Yonekura,,,,,,,1566,,,
索托斯,Sotos,,,,,,,1590,,,
李賢,Li Xian,,,,,,,1596,,,
九宮赤木,Jiugong Akagi,,,,,,,1602,,,
劉仁鳳,Liu Renfeng,,,,,,,1624,,,
莎耶倪,Say Ni,,,,,,,1911,,,
孫薇,Sun Wei,,,,,,,9991,,,
杭川,Hang Chuan,,,,,,,1626,,,
無心,Wuxin,,,,,,,1636,,,
迪卡斯,Ducas,,,,,,,1647,,,
